// blank lines and lines starting with // are ignored, 
// each other line is a problem instance 
// each instance is followed by one optimal solution, 
// but any optimal solution is fine 


// Completed:

MA PA 
## MA PA 

ELEVEN TWELVE
## No solution 

SOFT LOUD 
## SOFT LOFT LOUT LOUD 

WEEK YEAR 
## WEEK WEAK WEAR YEAR 

CENT DIME 
## CENT DENT DINT DINE DIME 

SICK WELL 
## SICK SILK SILL WILL WELL 

DRY WET 
## DRY WRY WAY WAT WET 

AX XI 
## AX AM HM HI XI 

TI IT
## TI HI HM AM AT IT 

FORTY FIFTY
## FORTY FORTH FIRTH FIFTH FIFTY 

FIFTY SIXTY
## FIFTY NIFTY NITTY KITTY KILTY SILTY SIXTY 

SALTY SWEET 
## SALTY SALTS SALES SALEP SHLEP SHEEP SWEEP SWEET 




// Optimal alternative:

RICH POOR 
## RICH RICK ROCK BOCK BOOK BOOR POOR 

FORTY SIXTY
## FORTY FORTS MORTS MOLTS MILTS SILTS SILTY SIXTY 




// For fixing:

ONE TWO 
## ONE ORE ORT OAT TAT TOT TOO TWO 

PART TRAP
## PART PERT PEAT FEAT FRAT FRAP TRAP 

WALES GLORY 
## WALES BALES BOLES BOLDS GOLDS GOADS GLADS GLADY GLARY GLORY 


